DATE,SYMBOL,PRICE_USD,CEX_TRADING_VOLUME_24H_USD,CIRCULATING_TOKENS
01/10/2026,XRP,2.089243159,3538973019,60699967552
01/10/2026,ZEC,399.086765949,689892799,16488541
01/09/2026,AAVE,164.879245508,282415857,15182668
01/09/2026,ADA,0.3972755892,624902957,36676550459
01/09/2026,BNB,893.123040654,1491245637,137734222
01/09/2026,BTC,91194.556128933,47931659950,19973353
01/09/2026,ETH,3112.79673958,24358504732,120694767
01/09/2026,NEAR,1.689335029,178645836,1284646248
01/09/2026,SOL,139.050134008,5384909853,564139801
01/09/2026,XRP,2.13159542,4552738007,60676393849
01/09/2026,ZEC,435.108223541,1500929473,16484702
01/08/2026,AAVE,167.862222121,269053484,15182442
01/08/2026,ADA,0.4027801763,577814256,36676550459
01/08/2026,BNB,901.190806165,1636004182,137734266
01/08/2026,BTC,91301.590488048,46096734484,19972909
01/08/2026,ETH,3168.026071068,24068424832,120694786
01/08/2026,NEAR,1.722445908,181204867,1284541690
01/08/2026,SOL,136.72562978,4228637599,564137568
01/08/2026,XRP,2.169172922,3839558958,60676393849
01/08/2026,ZEC,478.103893763,560862364,16484702
01/07/2026,AAVE,173.371357203,350424760,15181868
01/07/2026,ADA,0.4138820341,960562298,36676550459
01/07/2026,BNB,909.467826583,1681579203,137734311
01/07/2026,BTC,92741.905379663,58553752541,19972468
01/07/2026,ETH,3261.453070993,28873032972,120694829
01/07/2026,NEAR,1.77259989,289865299,1284463462
01/07/2026,SOL,140.13413781,6540297585,564014143
01/07/2026,XRP,2.289714992,8267956227,60676393849
01/07/2026,ZEC,499.865277253,704988960,16483180
01/06/2026,AAVE,172.504879527,289868650,15181567
01/06/2026,ADA,0.4243881654,926217327,36676550459
01/06/2026,BNB,909.212760502,1491549786,137734359
01/06/2026,BTC,93836.671031797,56528813889,19972078
01/06/2026,ETH,3218.164996144,28162616168,120694851
01/06/2026,NEAR,1.770314332,270843074,1284385355
01/06/2026,SOL,137.608973552,5668988562,563400036
01/06/2026,XRP,2.369070648,7388646326,60676393849
01/06/2026,ZEC,501.740501958,479122702,16481230
01/05/2026,AAVE,165.161875475,183838196,15181428
01/05/2026,ADA,0.4014001354,658640414,36676550459
01/05/2026,BNB,899.382266008,1275832608,137734405
01/05/2026,BTC,92312.017219403,31893661059,19971656
01/05/2026,ETH,3164.829969175,14576189152,120694861
01/05/2026,NEAR,1.737612975,145023282,1284280497
01/05/2026,SOL,135.462578921,3380605516,563277310
01/05/2026,XRP,2.110529731,3515267043,60676393849
01/05/2026,ZEC,504.420971512,381231580,16477877
01/04/2026,AAVE,164.426930667,222147159,15181305
01/04/2026,ADA,0.3945935569,580927908,36669617499
01/04/2026,BNB,880.500267081,1062559116,137734454
01/04/2026,BTC,91271.999213269,26062831123,19971200
01/04/2026,ETH,3155.856262717,13740297742,120694873
01/04/2026,NEAR,1.71234798,135866397,1284202133
01/04/2026,SOL,134.480075792,2950807680,563277961
01/04/2026,XRP,2.042756067,2578266273,60676393849
01/04/2026,ZEC,508.252478222,452827888,16477877
01/03/2026,AAVE,164.991100917,301571676,15180635
01/03/2026,ADA,0.3950631469,1029743038,36669617499
01/03/2026,BNB,881.20441727,1661811815,137734493
01/03/2026,BTC,90107.89157966,50393208448,19970715
01/03/2026,ETH,3128.765495916,25778605726,120694893
01/03/2026,NEAR,1.695971931,191207399,1284124165
01/03/2026,SOL,132.565918243,4993984496,563155113
01/03/2026,XRP,2.015932252,4158301182,60676393849
01/03/2026,ZEC,493.139511317,611446084,16474439
